Alaska,1,663267 ,1717854 
Texas,2,268580 ,695621 
California,3,163695 ,423970 
Montana,4,147042 ,380838 
New Mexico,5,121589 ,314915 
Arizona,6,113998 ,295254 
Nevada,7,110560 ,286351 
Colorado,8,104093 ,269601 
Oregon,9,98380 ,254805 
Wyoming,10,97813 ,253336 
Michigan,11,96716 ,250494 
Minnesota,12,86938 ,225171 
Utah,13,84898 ,219887 
Idaho,14,83570 ,216446 
Kansas,15,82276 ,213096 
Nebraska,16,77358 ,200356 
South Dakota,17,77121 ,199742 
Washington,18,71300 ,184665 
North Dakota,19,70700 ,183112 
Oklahoma,20,69899 ,181035 
Missouri,21,69704 ,180533 
Florida,22,65755 ,170304 
Wisconsin,23,65498 ,169639 
Georgia,24,59425 ,153909 
Illinois,25,57914 ,149998 
Iowa,26,56271 ,145743 
New York,27,54556 ,141299 
North Carolina,28,53818 ,139389 
Arkansas,29,53179 ,137732 
Alabama,30,52419 ,135765 
Louisiana,31,51840 ,134264 
Mississippi,32,48431 ,125434 
Pennsylvania,33,46056 ,119283 
Ohio,34,44825 ,116096 
Virginia,35,42774 ,110785 
Tennessee,36,42144 ,109151 
Kentucky,37,40410 ,104659 
Indiana,38,36418 ,94321 
Maine,39,35385 ,91646 
South Carolina,40,32020 ,82932 
West Virginia,41,24230 ,62755 
Maryland,42,12407 ,32133 
Hawaii,43,10931 ,28311 
Massachusetts,44,10555 ,27336 
Vermont,45,9615 ,24901 
New Hampshire,46,9350 ,24216 
New Jersey,47,8722 ,22588 
Connecticut,48,5544 ,14357 
Delaware,49,2489 ,6447 
Rhode Island,50,1545 ,4002 
District of Columbia,51,68.25 ,176.75 